Model,Test Accuracy,F1 Weighted,F1 Macro,Winner
CNN ResNet-18,0.9770114942528736,0.9711648367227793,0.9316138307186802,*
Random Forest,0.9707419017763845,0.9686800374042316,0.944187591607029,
SVM (RBF),0.96760710553814,0.9671297532612908,0.9458761771213696,*
k-NN,0.8955067920585162,0.8920869268489315,0.9026396531583767,
